Gene,logFC,-log10(p-value)
CDKN1A,1.3055125879838867,165.5504970465309
MDM2,0.9935880772526948,154.2911441386255
GDF15,0.9770055372613471,145.47769896292894
SUGCT,0.7084083921314841,138.9860574535116
RPS27,0.3655635344802235,96.42013985601967
FDXR,0.6790453697727106,95.98403349327646
RPS28,0.3551257171407869,95.81252064704734
TP53I3,0.8338715880886367,91.3850327268759
RPL37A,0.3358283280239114,91.16059443718925
RPL39,0.31805612634097535,78.99707806882952
RPS21,0.3235838912608653,74.60812210595539
RPL38,0.36153238088645523,72.28535905437639
H2AFZ,-0.6785388411383018,71.2614867859292
MT-ND3,0.37974497594644596,66.36048169799346
RPS19,0.2590727469804559,54.09495408488816
HMGN2,-0.5514853668886506,54.076171816063166
ATP5E,0.2884245581562439,53.73050647640193
BTG2,0.38674322286549057,53.64926486669538
RPL36,0.26469422877217497,52.5319078265935
RPS29,0.31357043607568613,52.0318011613691
RPL37,0.2733137805374408,50.27986020411203
HMGB1,-0.5049668341507569,49.23169015960338
KIAA0101,-0.7089225249070319,47.85561749086703
LSM4,-0.5212861619766445,44.89480070715968
RPLP2,0.2286314816902184,44.69024712834251
DEK,-0.5436137010959357,40.78258756505795
STMN1,-0.5957631038712865,39.988107610319666
OST4,0.3581886311312452,39.743964058261305
DTYMK,-0.5778762651746101,39.48031310025002
ZMAT3,0.41291596254877394,38.604720146285246
SIVA1,-0.4592011329853918,37.45876151114091
GADD45A,0.5802249618830677,36.82842663514382
ANP32B,-0.5028227764922315,36.81348046326132
RPL35A,0.20883404994673427,36.75460864288465
TCEB2,0.28832585003193323,35.69185575744179
RANBP1,-0.4760070776954972,35.027665571644576
HMGN1,-0.3371264704041934,35.00765181354245
RPS19BP1,-0.4318903294512282,33.92745510859494
RPS27L,0.43338435539330256,32.76596006604832
GINS2,-0.4780575808137755,32.753851718507484
EIF4EBP1,-0.49519043082368874,32.673158966260395
HNRNPA2B1,-0.41192057270858307,32.07826598025862
BBC3,0.3468259854419351,32.07826598025862
BIRC5,-0.5567302466442374,31.661352731457693
RPL35,0.19030996642336362,31.661352731457693
GPX4,-0.33242538954043255,31.59294475295689
HMGN3,-0.4841056158454169,31.59294475295689
RPL31,0.2167867205053451,31.504935475051028
DNMT1,-0.49454471994327154,31.45925488949405
DUT,-0.5165348984460856,31.279896426981953
FAS,0.26260328726935445,31.273838086470715
S100A6,0.3367865911442198,31.17280647607875
CDKN3,-0.5538700830058128,31.047915396737007
KPNB1,-0.46967004127891077,30.532801913888417
TMEM106C,-0.4883386163927774,30.286252007010265
POLD2,-0.4466713618605418,29.758476099295503
IGFBP6,-0.4296407352971352,29.298367934397785
NFIC,-0.4387133571884343,29.270024879984465
TK1,-0.48740195785717955,29.270024879984465
DHRS3,-0.28924372100238305,28.92036450698765
SEC61G,0.3177457743940284,28.903492320689832
AURKAIP1,-0.3184619458247173,28.88039906005668
PTMS,-0.4032177900883358,28.782273668796428
RPL34,0.2068158541635139,28.735295803309796
